"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","type","type_bin","type01"
0.870825847388038,0.284286703242457,1.25170373701191,-0.690822174140482,-1.1244455593531,-0.670134221613524,-0.145425366042411,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.248750232336942,0.590432810800256,0.634679915930334,-0.170061494433445,0.102079723491017,-0.0261519288879437,-0.791877072216035,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.719630759985912,0.149582415917025,0.60001565631901,0.19046512997912,0.437760327216763,-0.164148134471997,-0.827010317116775,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.232285878223279,-0.242284601756956,0.697075583230718,-0.310266292816109,-0.0528497859208776,0.111844276696109,-0.517837761990259,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.311314777968573,-0.168809535943086,0.648545619774864,-0.410412577375154,0.553957459275684,0.0811784532329866,-0.62323749669248,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.792073918085768,-0.75661006245406,0.641612767852599,0.350699185273593,0.411938742314787,0.21917465881704,-0.62323749669248,-0.352051384254174,2.08326520037323,"WinF","Win",1
-0.308021907145856,-0.132072003036149,0.634679915930334,-0.610705146493246,0.566868251726681,0.127177188427671,-0.552971006891,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.265214586450529,-0.315759667570828,0.641612767852599,-0.790968458699528,0.76053013849153,0.111844276696109,-0.503784464029963,-0.352051384254174,-0.58507908481937,"WinF","Win",1
0.26823048683022,0.774120475334933,0.620814212085805,-0.150032237521635,-0.737121785823386,0.096511364964548,-0.461624570149074,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.268507457273246,-0.499447332105508,0.634679915930334,-0.170061494433445,0.437760327216763,0.111844276696109,-0.391358080347594,-0.352051384254174,0.543835805069808,"WinF","Win",1
-0.874395688653855,-0.842330972570241,0.537619989018626,0.230523643802738,0.708886968687578,0.265173394011724,-0.609184198732185,-0.352051384254174,1.87800794766611,"WinF","Win",1
-0.242164490691432,-0.744364218151746,0.676277027463924,-0.350324806639727,0.463581912118757,0.157843011890794,-0.278931696665224,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.815124013844867,-0.64639746373325,0.516821433251831,-0.0899444667862084,0.812173308295501,0.295839217474847,-0.637290794652776,-0.352051384254174,1.87800794766611,"WinF","Win",1
-0.291557553032268,-0.670889152337876,0.606948508241275,-0.350324806639727,0.721797761138557,0.0658455415014251,-0.40541137830789,-0.352051384254174,1.15960756319118,"WinF","Win",1
-0.242164490691432,-0.977035259895674,0.627747064008069,-0.27020777899249,0.825084100746498,0.127177188427671,-0.321091590546113,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.248750232336942,-0.732118373849434,0.593082804396745,-0.430441834286963,0.76053013849153,0.127177188427671,-0.398384729327741,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.17301420341429,-0.89131434977949,0.683209879386188,-0.570646632669628,0.592689836628657,0.173175923622355,-0.180558610943152,-0.352051384254174,-0.58507908481937,"WinF","Win",1
1.1836485755465,1.16598749300892,0.808001213986957,-1.11143656928847,-1.66669884229471,-0.532138016029471,0.135640593163513,-0.352051384254174,-0.58507908481937,"WinF","Win",1
0.245180391071125,0.602678655102568,0.724806990919778,-0.530588118846009,-0.685478616019415,-0.670134221613524,-0.0470522803203373,-0.352051384254174,-0.58507908481937,"WinF","Win",1
-0.33436487372767,-0.474955643500884,0.593082804396745,0.490903983656257,0.102079723491017,0.0658455415014251,-0.363251484427002,-0.352051384254174,0.133321299655562,"WinF","Win",1
